text,intent
remind me tonight to follow up with Xena,add_reminder
set a reminder next Friday to water the plants,add_reminder
remind me in two hours to take meds,add_reminder
remind me next Friday to water the plants,add_reminder
nudge me in two hours to submit timesheet,add_reminder
set a reminder in 3 days to take meds,add_reminder
set a reminder in 45 minutes to check flights,add_reminder
add reminder tonight: email Alice,add_reminder
set a reminder tomorrow morning to pay rent,add_reminder
add reminder next Friday: water the plants,add_reminder
add reminder daily at 8am: send to Erin,add_reminder
set a reminder tonight to water the plants,add_reminder
nudge me tonight to stretch,add_reminder
add reminder next Friday: water the plants,add_reminder
add reminder tomorrow morning: pay rent,add_reminder
nudge me tonight to take meds,add_reminder
remind me next Friday to water the plants,add_reminder
remind me next Friday to take meds,add_reminder
remind me in 45 minutes to submit timesheet,add_reminder
nudge me tomorrow morning to water the plants,add_reminder
nudge me daily at 8am to check flights,add_reminder
nudge me tonight to pay rent,add_reminder
set a reminder in 45 minutes to submit timesheet,add_reminder
remind me in 45 minutes to water the plants,add_reminder
nudge me tonight to check on Frank,add_reminder
nudge me next Friday to email Tia,add_reminder
set a reminder in 3 days to pay rent,add_reminder
nudge me tonight to stretch,add_reminder
add reminder daily at 8am: stretch,add_reminder
nudge me daily at 8am to water the plants,add_reminder
set a reminder in two hours to take meds,add_reminder
add reminder in 45 minutes: submit timesheet,add_reminder
add reminder in two hours: stretch,add_reminder
add reminder in two hours: check flights,add_reminder
nudge me in 45 minutes to water the plants,add_reminder
nudge me in 45 minutes to submit timesheet,add_reminder
remind me tomorrow morning to pay rent,add_reminder
set a reminder tonight to stretch,add_reminder
add reminder daily at 8am: water the plants,add_reminder
add reminder in 45 minutes: stretch,add_reminder
nudge me in two hours to email Jane,add_reminder
set a reminder in 3 days to call Liam,add_reminder
add reminder in 45 minutes: stretch,add_reminder
add reminder in 3 days: water the plants,add_reminder
add reminder tomorrow morning: submit timesheet,add_reminder
set a reminder next Friday to water the plants,add_reminder
nudge me daily at 8am to pay rent,add_reminder
nudge me tonight to stretch,add_reminder
remind me in 3 days to stretch,add_reminder
set a reminder in 45 minutes to check on Xena,add_reminder
remind me in two hours to check flights,add_reminder
set a reminder in 3 days to pay rent,add_reminder
set a reminder tonight to pay rent,add_reminder
set a reminder daily at 8am to stretch,add_reminder
set a reminder next Friday to follow up with Val,add_reminder
set a reminder daily at 8am to stretch,add_reminder
set a reminder in two hours to submit timesheet,add_reminder
set a reminder daily at 8am to submit timesheet,add_reminder
nudge me in 3 days to text Owen,add_reminder
remind me tomorrow morning to water the plants,add_reminder
nudge me tomorrow morning to take meds,add_reminder
set a reminder tomorrow morning to follow up with Maya,add_reminder
nudge me daily at 8am to water the plants,add_reminder
add reminder in two hours: send to Kim,add_reminder
remind me in 45 minutes to take meds,add_reminder
remind me in two hours to take meds,add_reminder
set a reminder in two hours to pay rent,add_reminder
nudge me tonight to water the plants,add_reminder
add reminder next Friday: check flights,add_reminder
remind me in two hours to take meds,add_reminder
set a reminder daily at 8am to water the plants,add_reminder
nudge me tomorrow morning to pay rent,add_reminder
remind me tomorrow morning to take meds,add_reminder
nudge me in 45 minutes to stretch,add_reminder
remind me tomorrow morning to water the plants,add_reminder
remind me tomorrow morning to call Alex,add_reminder
set a reminder daily at 8am to stretch,add_reminder
nudge me tonight to check flights,add_reminder
add reminder next Friday: take meds,add_reminder
nudge me next Friday to send to Xena,add_reminder
set a reminder tonight to check flights,add_reminder
remind me in 3 days to take meds,add_reminder
nudge me in two hours to stretch,add_reminder
remind me tomorrow morning to submit timesheet,add_reminder
nudge me in 45 minutes to submit timesheet,add_reminder
nudge me in 45 minutes to stretch,add_reminder
set a reminder in two hours to stretch,add_reminder
add reminder in 45 minutes: check flights,add_reminder
remind me in 45 minutes to water the plants,add_reminder
add reminder in 3 days: check flights,add_reminder
nudge me in 3 days to stretch,add_reminder
remind me daily at 8am to stretch,add_reminder
remind me in 3 days to pay rent,add_reminder
add reminder tomorrow morning: stretch,add_reminder
nudge me tomorrow morning to take meds,add_reminder
add reminder next Friday: follow up with Charlie,add_reminder
add reminder in 45 minutes: water the plants,add_reminder
set a reminder in two hours to stretch,add_reminder
set a reminder in two hours to follow up with Iris,add_reminder
nudge me in 3 days to submit timesheet,add_reminder
add reminder in two hours: text Frank,add_reminder
add reminder in 3 days: pay rent,add_reminder
nudge me tonight to pay rent,add_reminder
remind me in 45 minutes to submit timesheet,add_reminder
nudge me in two hours to take meds,add_reminder
add reminder tomorrow morning: check flights,add_reminder
nudge me in two hours to take meds,add_reminder
nudge me daily at 8am to take meds,add_reminder
set a reminder in two hours to submit timesheet,add_reminder
remind me tonight to take meds,add_reminder
set a reminder next Friday to water the plants,add_reminder
remind me tonight to email Grace,add_reminder
nudge me daily at 8am to pay rent,add_reminder
set a reminder in 45 minutes to submit timesheet,add_reminder
set a reminder next Friday to pay rent,add_reminder
remind me daily at 8am to pay rent,add_reminder
add reminder tomorrow morning: take meds,add_reminder
nudge me in 45 minutes to water the plants,add_reminder
add reminder in 3 days: stretch,add_reminder
nudge me in 45 minutes to take meds,add_reminder
nudge me in two hours to check flights,add_reminder
add reminder tomorrow morning: stretch,add_reminder
nudge me daily at 8am to stretch,add_reminder
remind me daily at 8am to submit timesheet,add_reminder
add reminder tomorrow morning: check flights,add_reminder
remind me in 45 minutes to submit timesheet,add_reminder
nudge me in 3 days to water the plants,add_reminder
remind me in 3 days to check flights,add_reminder
nudge me daily at 8am to submit timesheet,add_reminder
set a reminder in 45 minutes to check flights,add_reminder
add reminder tomorrow morning: water the plants,add_reminder
nudge me in 3 days to check flights,add_reminder
note this down: talk to legal about contract,create_note
append to my daily note: travel packing list,create_note
note this down: meeting notes from standup,create_note
make a note: draft bullets for OKRs,create_note
make a note: draft bullets for OKRs,create_note
make a note: design token tasks,create_note
save a note titled 'Travel' with travel packing list,create_note
note this down: meeting notes from standup,create_note
add to notes: draft bullets for OKRs,create_note
make a note: meeting notes from standup,create_note
save a note titled 'Travel' with hire plan Q4,create_note
note this down: travel packing list,create_note
add to notes: meeting notes from standup,create_note
save a note titled 'Travel' with grocery list milk eggs bread,create_note
capture: travel packing list,create_note
save a note titled 'Ideas' with draft bullets for OKRs,create_note
save a note titled 'OKRs' with design token tasks,create_note
save a note titled 'Todo' with travel packing list,create_note
note this down: idea for onboarding flow,create_note
note this down: talk to legal about contract,create_note
add to notes: ship build passed,create_note
note this down: metrics daus waus retention,create_note
add to notes: ship build passed,create_note
add to notes: hire plan Q4,create_note
make a note: talk to legal about contract,create_note
make a note: design token tasks,create_note
capture: design token tasks,create_note
make a note: draft bullets for OKRs,create_note
capture: hire plan Q4,create_note
capture: travel packing list,create_note
add to notes: hire plan Q4,create_note
add to notes: meeting notes from standup,create_note
add to notes: metrics daus waus retention,create_note
make a note: travel packing list,create_note
note this down: ship build passed,create_note
append to my daily note: meeting notes from standup,create_note
note this down: metrics daus waus retention,create_note
add to notes: design token tasks,create_note
add to notes: talk to legal about contract,create_note
append to my daily note: ship build passed,create_note
note this down: meeting notes from standup,create_note
append to my daily note: metrics daus waus retention,create_note
note this down: travel packing list,create_note
capture: design token tasks,create_note
append to my daily note: hire plan Q4,create_note
add to notes: meeting notes from standup,create_note
add to notes: talk to legal about contract,create_note
make a note: metrics daus waus retention,create_note
note this down: design token tasks,create_note
make a note: design token tasks,create_note
make a note: talk to legal about contract,create_note
make a note: hire plan Q4,create_note
note this down: metrics daus waus retention,create_note
capture: hire plan Q4,create_note
append to my daily note: grocery list milk eggs bread,create_note
add to notes: metrics daus waus retention,create_note
note this down: idea for onboarding flow,create_note
append to my daily note: idea for onboarding flow,create_note
append to my daily note: design token tasks,create_note
note this down: ship build passed,create_note
append to my daily note: grocery list milk eggs bread,create_note
note this down: ship build passed,create_note
make a note: draft bullets for OKRs,create_note
make a note: draft bullets for OKRs,create_note
add to notes: hire plan Q4,create_note
make a note: talk to legal about contract,create_note
append to my daily note: hire plan Q4,create_note
save a note titled 'Retro' with metrics daus waus retention,create_note
capture: idea for onboarding flow,create_note
make a note: idea for onboarding flow,create_note
note this down: ship build passed,create_note
add to notes: design token tasks,create_note
save a note titled 'Todo' with meeting notes from standup,create_note
append to my daily note: grocery list milk eggs bread,create_note
note this down: ship build passed,create_note
note this down: grocery list milk eggs bread,create_note
make a note: ship build passed,create_note
append to my daily note: meeting notes from standup,create_note
append to my daily note: grocery list milk eggs bread,create_note
make a note: metrics daus waus retention,create_note
capture: design token tasks,create_note
make a note: design token tasks,create_note
capture: ship build passed,create_note
save a note titled 'Travel' with hire plan Q4,create_note
append to my daily note: idea for onboarding flow,create_note
capture: draft bullets for OKRs,create_note
add to notes: meeting notes from standup,create_note
append to my daily note: hire plan Q4,create_note
save a note titled 'Todo' with grocery list milk eggs bread,create_note
note this down: grocery list milk eggs bread,create_note
capture: design token tasks,create_note
capture: design token tasks,create_note
capture: idea for onboarding flow,create_note
append to my daily note: metrics daus waus retention,create_note
make a note: travel packing list,create_note
note this down: talk to legal about contract,create_note
save a note titled 'Travel' with idea for onboarding flow,create_note
make a note: draft bullets for OKRs,create_note
add to notes: grocery list milk eggs bread,create_note
capture: draft bullets for OKRs,create_note
add to notes: idea for onboarding flow,create_note
note this down: design token tasks,create_note
note this down: hire plan Q4,create_note
save a note titled 'Retro' with metrics daus waus retention,create_note
save a note titled 'Ideas' with hire plan Q4,create_note
make a note: metrics daus waus retention,create_note
make a note: talk to legal about contract,create_note
add to notes: idea for onboarding flow,create_note
add to notes: idea for onboarding flow,create_note
note this down: talk to legal about contract,create_note
capture: travel packing list,create_note
capture: metrics daus waus retention,create_note
note this down: idea for onboarding flow,create_note
save a note titled 'Travel' with ship build passed,create_note
note this down: idea for onboarding flow,create_note
save a note titled 'Travel' with draft bullets for OKRs,create_note
make a note: draft bullets for OKRs,create_note
append to my daily note: travel packing list,create_note
save a note titled 'Retro' with metrics daus waus retention,create_note
note this down: hire plan Q4,create_note
append to my daily note: metrics daus waus retention,create_note
note this down: design token tasks,create_note
note this down: grocery list milk eggs bread,create_note
save a note titled 'OKRs' with travel packing list,create_note
append to my daily note: meeting notes from standup,create_note
add to notes: design token tasks,create_note
note this down: draft bullets for OKRs,create_note
make a note: grocery list milk eggs bread,create_note
note this down: talk to legal about contract,create_note
note this down: metrics daus waus retention,create_note
capture: travel packing list,create_note
add to notes: metrics daus waus retention,create_note
note this down: metrics daus waus retention,create_note
make a note: draft bullets for OKRs,create_note
capture: travel packing list,create_note
note this down: idea for onboarding flow,create_note
make a note: travel packing list,create_note
note this down: design token tasks,create_note
save a note titled 'OKRs' with hire plan Q4,create_note
add to notes: meeting notes from standup,create_note
save a note titled 'OKRs' with metrics daus waus retention,create_note
add to notes: grocery list milk eggs bread,create_note
add to notes: draft bullets for OKRs,create_note
note this down: travel packing list,create_note
capture: idea for onboarding flow,create_note
capture: hire plan Q4,create_note
save a note titled 'Travel' with metrics daus waus retention,create_note
note this down: metrics daus waus retention,create_note
make a note: meeting notes from standup,create_note
add to notes: design token tasks,create_note
note this down: travel packing list,create_note
note this down: talk to legal about contract,create_note
add to notes: grocery list milk eggs bread,create_note
make a note: hire plan Q4,create_note
append to my daily note: design token tasks,create_note
append to my daily note: design token tasks,create_note
make a note: talk to legal about contract,create_note
note this down: metrics daus waus retention,create_note
add to notes: meeting notes from standup,create_note
note this down: metrics daus waus retention,create_note
add to notes: grocery list milk eggs bread,create_note
add to notes: grocery list milk eggs bread,create_note
append to my daily note: hire plan Q4,create_note
save a note titled 'OKRs' with metrics daus waus retention,create_note
save a note titled 'Travel' with draft bullets for OKRs,create_note
save a note titled 'Todo' with grocery list milk eggs bread,create_note
capture: talk to legal about contract,create_note
note this down: hire plan Q4,create_note
save a note titled 'Travel' with hire plan Q4,create_note
capture: ship build passed,create_note
make a note: ship build passed,create_note
add to notes: ship build passed,create_note
append to my daily note: idea for onboarding flow,create_note
note this down: design token tasks,create_note
capture: draft bullets for OKRs,create_note
append to my daily note: design token tasks,create_note
add to notes: meeting notes from standup,create_note
make a note: grocery list milk eggs bread,create_note
note this down: travel packing list,create_note
save a note titled 'Todo' with metrics daus waus retention,create_note
show me emails from Jack today,read_email
show threads from Bob about onboarding,read_email
what are the unread messages in recruiting label,read_email
what are the unread messages in recruiting label,read_email
read my latest unread emails,read_email
what are the unread messages in inbox label,read_email
pull up all emails with subject status update,read_email
any new emails about ideas,read_email
list starred emails from this week,read_email
what are the unread messages in recruiting label,read_email
show me emails from Quinn today,read_email
what are the unread messages in finance label,read_email
pull up all emails with subject thank you,read_email
read my latest unread emails,read_email
any new emails about thank you,read_email
read the newest message from Quinn,read_email
any new emails about invoice,read_email
list starred emails from this week,read_email
show threads from Val about onboarding,read_email
show threads from Alex about onboarding,read_email
list starred emails from this week,read_email
pull up all emails with subject status update,read_email
read the newest message from Xena,read_email
show me emails from Bob today,read_email
show me emails from Grace today,read_email
what are the unread messages in important label,read_email
read the newest message from Jane,read_email
list starred emails from this week,read_email
pull up all emails with subject ideas,read_email
show threads from Charlie about onboarding,read_email
read my latest unread emails,read_email
show threads from Alex about onboarding,read_email
pull up all emails with subject thank you,read_email
show threads from John about onboarding,read_email
read my latest unread emails,read_email
what are the unread messages in inbox label,read_email
read the newest message from Yaz,read_email
read my latest unread emails,read_email
pull up all emails with subject travel plans,read_email
read the newest message from Noah,read_email
any new emails about contract,read_email
show me emails from Wes today,read_email
pull up all emails with subject metrics to watch,read_email
pull up all emails with subject contract,read_email
read the newest message from Uri,read_email
read my latest unread emails,read_email
show threads from Bob about onboarding,read_email
what are the unread messages in recruiting label,read_email
what are the unread messages in recruiting label,read_email
pull up all emails with subject OKRs,read_email
show threads from Maya about onboarding,read_email
show threads from Sam about onboarding,read_email
pull up all emails with subject ideas,read_email
any new emails about metrics to watch,read_email
show threads from Val about onboarding,read_email
list starred emails from this week,read_email
show threads from Tia about onboarding,read_email
read the newest message from Alice,read_email
show me emails from Bob today,read_email
pull up all emails with subject invoice,read_email
list starred emails from this week,read_email
show threads from Jack about onboarding,read_email
list starred emails from this week,read_email
read the newest message from Noah,read_email
pull up all emails with subject invoice,read_email
show threads from Noah about onboarding,read_email
any new emails about OKRs,read_email
list starred emails from this week,read_email
show threads from Sam about onboarding,read_email
any new emails about OKRs,read_email
read the newest message from Jane,read_email
what are the unread messages in important label,read_email
show me emails from Frank today,read_email
show threads from Henry about onboarding,read_email
any new emails about contract,read_email
what are the unread messages in recruiting label,read_email
list starred emails from this week,read_email
list starred emails from this week,read_email
show me emails from Quinn today,read_email
show me emails from Jack today,read_email
what are the unread messages in finance label,read_email
list starred emails from this week,read_email
any new emails about ideas,read_email
list starred emails from this week,read_email
read the newest message from Noah,read_email
read the newest message from Yaz,read_email
any new emails about status update,read_email
any new emails about hiring plan,read_email
pull up all emails with subject about launch,read_email
show threads from Frank about onboarding,read_email
show threads from Yaz about onboarding,read_email
pull up all emails with subject about launch,read_email
what are the unread messages in important label,read_email
list starred emails from this week,read_email
read the newest message from Alice,read_email
read the newest message from Maya,read_email
what are the unread messages in inbox label,read_email
read my latest unread emails,read_email
show threads from Erin about onboarding,read_email
any new emails about ideas,read_email
any new emails about hiring plan,read_email
read my latest unread emails,read_email
any new emails about invoice,read_email
any new emails about contract,read_email
pull up all emails with subject OKRs,read_email
what are the unread messages in finance label,read_email
pull up all emails with subject invoice,read_email
list starred emails from this week,read_email
show me emails from Uri today,read_email
pull up all emails with subject contract,read_email
read my latest unread emails,read_email
list starred emails from this week,read_email
what are the unread messages in recruiting label,read_email
show me emails from Grace today,read_email
show threads from Raj about onboarding,read_email
read my latest unread emails,read_email
read the newest message from Kim,read_email
show threads from Kim about onboarding,read_email
read the newest message from Raj,read_email
show me emails from Erin today,read_email
show me emails from John today,read_email
show threads from Noah about onboarding,read_email
what are the unread messages in starred label,read_email
pull up all emails with subject metrics to watch,read_email
read the newest message from Yaz,read_email
what are the unread messages in inbox label,read_email
what are the unread messages in starred label,read_email
what are the unread messages in important label,read_email
read my latest unread emails,read_email
read the newest message from Frank,read_email
list starred emails from this week,read_email
any new emails about status update,read_email
read the newest message from Charlie,read_email
list starred emails from this week,read_email
read my latest unread emails,read_email
list starred emails from this week,read_email
show threads from Tia about onboarding,read_email
read my latest unread emails,read_email
list starred emails from this week,read_email
pull up all emails with subject ideas,read_email
list starred emails from this week,read_email
read my latest unread emails,read_email
read the newest message from Noah,read_email
pull up all emails with subject hiring plan,read_email
pull up all emails with subject contract,read_email
what are the unread messages in important label,read_email
show threads from Frank about onboarding,read_email
what are the unread messages in finance label,read_email
read the newest message from Val,read_email
what are the unread messages in recruiting label,read_email
list starred emails from this week,read_email
pull up all emails with subject invoice,read_email
read my latest unread emails,read_email
read my latest unread emails,read_email
list starred emails from this week,read_email
any new emails about ideas,read_email
list starred emails from this week,read_email
list starred emails from this week,read_email
read the newest message from Sam,read_email
pull up all emails with subject contract,read_email
show threads from Uri about onboarding,read_email
any new emails about OKRs,read_email
show threads from Henry about onboarding,read_email
list starred emails from this week,read_email
read my latest unread emails,read_email
read my latest unread emails,read_email
read the newest message from Erin,read_email
pull up all emails with subject travel plans,read_email
list starred emails from this week,read_email
any new emails about ideas,read_email
show threads from Uri about onboarding,read_email
what are the unread messages in starred label,read_email
what are the unread messages in recruiting label,read_email
read my latest unread emails,read_email
read my latest unread emails,read_email
show me emails from Jack today,read_email
list starred emails from this week,read_email
read my latest unread emails,read_email
show threads from Priya about onboarding,read_email
read the newest message from Sarah,read_email
write an email to Sarah: Let's discuss tomorrow,send_email
send an email to finance about metrics to watch,send_email
compose message to team re: contract,send_email
send follow-up to Charlie with subject contract,send_email
send follow-up to Erin with subject metrics to watch,send_email
